obs,time,deployment,air_temperature,barometric_pressure,dcl_controller_timestamp,driver_timestamp,eastward_wind_velocity,ingestion_timestamp,internal_timestamp,longwave_irradiance,northward_wind_velocity,port_timestamp,precipitation,preferred_timestamp,relative_humidity,sea_surface_conductivity,sea_surface_temperature,shortwave_irradiance,met_barpres,met_windavg_mag_corr_east,met_windavg_mag_corr_north,met_netsirr,met_salsurf,met_spechum,ct_depth,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity,met_current_direction,met_current_speed,met_relwind_direction,met_relwind_speed,met_heatflx_minute,met_latnflx_minute,met_netlirr_minute,met_sensflx_minute,barometric_pressure_qc_executed,barometric_pressure_qc_results,relative_humidity_qc_executed,relative_humidity_qc_results,air_temperature_qc_executed,air_temperature_qc_results,longwave_irradiance_qc_executed,longwave_irradiance_qc_results,precipitation_qc_executed,precipitation_qc_results,sea_surface_temperature_qc_executed,sea_surface_temperature_qc_results,sea_surface_conductivity_qc_executed,sea_surface_conductivity_qc_results,shortwave_irradiance_qc_executed,shortwave_irradiance_qc_results,eastward_wind_velocity_qc_executed,eastward_wind_velocity_qc_results,northward_wind_velocity_qc_executed,northward_wind_velocity_qc_results,met_barpres_qc_executed,met_barpres_qc_results,met_current_direction_qc_executed,met_current_direction_qc_results,met_current_speed_qc_executed,met_current_speed_qc_results,met_relwind_direction_qc_executed,met_relwind_direction_qc_results,met_relwind_speed_qc_executed,met_relwind_speed_qc_results,met_netsirr_qc_executed,met_netsirr_qc_results,met_salsurf_qc_executed,met_salsurf_qc_results,met_spechum_qc_executed,met_spechum_qc_results,lat,lon
"('10',)",3755302352.37,7,9.08500003815,1029.01000977,empty,3755315083.84,-3.41000008583,3755315083.85,0.0,267.0,-4.61999988556,3755302352.37,44.0900001526,port_timestamp,58.0110015869,3.73009991646,11.6890001297,3.59999990463,102901.0,-4.49596301821,-3.57194849723,3.40199995041,32.6506493567,4.0750374794,0.98,-0.0407207811385,-0.27997409245,188.275347075,0.282919908207,233.539338857,5.53951973303,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('11',)",3755302421.87,7,9.11600017548,1029.07995605,empty,3755315083.84,-5.42000007629,3755315083.85,0.0,267.799987793,-4.92000007629,3755302421.87,44.0900001526,port_timestamp,58.841999054,3.7297000885,11.6809997559,3.5,102907.992188,-6.51470323154,-3.33788007314,3.30749988556,32.6537960908,4.14195013046,0.98,-0.0407532125211,-0.279452088983,188.297101381,0.282408028157,244.712980146,7.16002867195,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('12',)",3755302458.32,7,9.13099956512,1028.80004883,empty,3755315083.84,-2.95000004768,3755315083.85,0.0,267.200012207,-6.40000009537,3755302458.32,44.1100006104,port_timestamp,59.3989982605,3.72950005531,11.6800003052,3.59999990463,102880.007812,-4.51563138117,-5.41032113016,3.40199995041,32.6527282282,4.18663644791,0.98,-0.0407702177424,-0.279178379268,188.308539679,0.282139642917,221.091629293,6.80830436761,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('13',)",3755302519.87,7,9.03999996185,1028.93994141,empty,3755315083.84,-3.1099998951,3755315083.86,0.0,267.100006104,-7.21999979019,3755302519.87,44.0999984741,port_timestamp,57.0750007629,3.73029994965,11.6899995804,3.5,102893.992188,-4.88375626341,-6.16031014459,3.30749988556,32.6517206868,3.99721717834,0.98,-0.0407989399215,-0.278716077759,188.327908704,0.28168636016,219.468347643,7.61888340927,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('14',)",3755302582.0,7,9.10000038147,1028.86999512,empty,3755315083.84,-4.32999992371,3755315083.86,0.0,267.0,-6.61000013351,3755302582.0,44.0900001526,port_timestamp,58.7770004272,3.73049998283,11.6920003891,3.59999990463,102887.0,-5.90268196706,-5.25350803751,3.40199995041,32.6519069878,4.13373279572,0.98,-0.040827934143,-0.278249397558,188.347524508,0.281228816887,229.67701104,7.68859748183,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('15',)",3755302645.06,7,9.02499961853,1028.93994141,empty,3755315083.84,-2.51999998093,3755315083.86,0.0,268.5,-6.76999998093,3755302645.06,44.0900001526,port_timestamp,56.5340003967,3.73020005226,11.6870002747,3.5,102893.992188,-4.19688711711,-5.8795780607,3.30749988556,32.6533867899,3.95522236824,0.98,-0.0408573581265,-0.277775800067,188.367496423,0.280764525565,216.572067099,6.97515389972,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('16',)",3755302709.66,7,9.12300014496,1028.86999512,empty,3755315083.84,-3.41000008583,3755315083.86,0.0,268.799987793,-5.90000009537,3755302709.66,44.1199989319,port_timestamp,59.4700012207,3.72939991951,11.6780004501,3.59999990463,102887.0,-4.82946781804,-4.80773775337,3.40199995041,32.6535110591,4.18910360336,0.98,-0.0408875007128,-0.277290636213,188.388024707,0.280288930652,226.586663646,6.59207497962,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('17',)",3755302773.6,7,9.13799953461,1029.01000977,empty,3755315083.84,-3.1099998951,3755315083.86,0.0,268.299987793,-6.57999992371,3755302773.6,44.0900001526,port_timestamp,61.0719985962,3.73070001602,11.6929998398,3.70000004768,102901.0,-4.71700392561,-5.5424157467,3.49650001526,32.6529744825,4.30602359772,0.98,-0.040917338126,-0.276810384311,188.408413879,0.279818186367,221.606469774,7.04218613827,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('18',)",3755313094.73,7,8.67899990082,1028.18005371,empty,3755315083.84,-1.62999999523,3755315083.86,0.0,266.299987793,-2.96000003815,3755313094.73,44.1199989319,port_timestamp,55.5620002747,3.72690010071,11.6479997635,15.1000003815,102818.007812,-2.34492985146,-2.43306477555,14.2694997787,32.6555606905,3.79982376099,0.98,-0.0452869119394,-0.200566588881,192.72372568,0.20561580914,225.848788556,3.20505940706,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,25,29,29,29,29,44.38,-124.95
"('19',)",3755313159.56,7,8.64099979401,1028.10998535,empty,3755315083.84,-3.38000011444,3755315083.86,0.0,265.700012207,-2.47000002861,3755313159.56,44.0900001526,port_timestamp,53.8849983215,3.72650003433,11.6479997635,3.0,102811.0,-3.9068155255,-1.50402571941,2.83500003815,32.6516587415,3.67564296722,0.98,-0.0450115998583,-0.200951754874,192.625404316,0.205931182459,251.354255492,4.07572463706,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('20',)",3755313225.3,7,8.67899990082,1028.18005371,empty,3755315083.84,-3.28999996185,3755315083.86,0.0,266.0,-2.66000008583,3755313225.3,44.1300010681,port_timestamp,55.2789993286,3.72589993477,11.6400003433,2.90000009537,102818.007812,-3.86942858587,-1.71091280445,2.7404999733,32.6528524236,3.78042507172,0.98,-0.0447324401684,-0.201342303734,192.526016179,0.206251580542,248.461330879,4.11182486295,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('21',)",3755313258.42,7,8.64900016785,1028.25,empty,3755315083.84,-2.67000007629,3755315083.86,0.0,266.200012207,-2.91000008583,3755313258.42,44.0999984741,port_timestamp,58.3050003052,3.72609996796,11.6420001984,3.0,102825.0,-3.33598101908,-2.1138191851,2.83500003815,32.6530441374,3.97949194908,0.98,-0.0445917561544,-0.201539122914,192.476046,0.206413281505,239.843634774,3.80658092208,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('22',)",3755313327.99,7,8.62600040436,1028.39001465,empty,3755336089.22,-2.88000011444,3755336089.23,0.0,265.700012207,-2.6400001049,3755313327.99,44.0999984741,port_timestamp,59.5340003967,3.72659993172,11.6499996185,2.90000009537,102839.0,-3.46837904529,-1.79842931783,2.7404999733,32.6508721433,4.05669260025,0.98,-0.0442963311895,-0.201952427153,192.371367313,0.206753350129,245.002736611,3.77797312001,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('23',)",3755313391.55,7,8.62600040436,1028.10998535,empty,3755336089.22,-3.06999993324,3755336089.23,0.0,266.100006104,-2.69000005722,3755313391.55,44.1100006104,port_timestamp,58.6349983215,3.72720003128,11.6540002823,3.0,102811.0,-3.66484382468,-1.7971977183,2.83500003815,32.6531996129,3.99637126923,0.98,-0.0440264083082,-0.202330053569,192.276025725,0.20706466431,246.227865846,3.95650371296,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('24',)",3755313455.42,7,8.73900032043,1028.39001465,empty,3755336089.22,-2.75,3755336089.23,0.0,267.399993896,-2.16000008583,3755313455.42,44.0999984741,port_timestamp,59.4840011597,3.72650003433,11.6470003128,3.0,102839.0,-3.21780482464,-1.36888000983,2.83500003815,32.6525389264,4.08446645737,0.98,-0.0437551646701,-0.202709527746,192.180506245,0.207378077613,249.826276087,3.38150038256,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('25',)",3755313520.4,7,8.67099952698,1028.39001465,empty,3755336089.22,-2.1099998951,3755336089.23,0.0,265.5,-3.43000006676,3755313520.4,44.0999984741,port_timestamp,58.2840003967,3.72639989853,11.6440000534,3.0,102839.0,-2.93080943095,-2.76176684293,2.83500003815,32.6542067353,3.98345446587,0.98,-0.0434792028279,-0.203095602766,192.083621347,0.207697532343,228.453536052,3.85791062124,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('26',)",3755313589.01,7,8.61900043488,1028.39001465,empty,3755336089.22,-2.84999990463,3755336089.23,0.0,265.5,-2.98000001907,3755313589.01,44.0900001526,port_timestamp,56.4039993286,3.72749996185,11.6560001373,3.09999990463,102839.0,-3.52800221236,-2.13450227446,2.92949986458,32.6543654307,3.84108877182,0.98,-0.043187829318,-0.203503238954,191.981648958,0.208035470212,241.008365972,3.9840542867,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('27',)",3755323894.24,7,8.44499969482,1028.31994629,empty,3755336089.22,-2.84999990463,3755336089.23,0.0,272.799987793,-2.72000002861,3755323894.24,44.0900001526,port_timestamp,60.7050018311,3.72790002823,11.670999527,2.59999990463,102831.992188,-3.46025906348,-1.88348263216,2.45699977875,32.6450569864,4.08642339706,0.98,2.84099260434e-05,-0.263814103841,179.993829864,0.263814105371,244.916956099,3.82059099358,189.862483028,75.0878378722,95.394087857,21.8375570772,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('28',)",3755323959.79,7,8.48299980164,1028.45996094,empty,3755336089.22,-2.93000006676,3755336089.23,0.0,273.0,-2.56999993324,3755323959.79,44.0800018311,port_timestamp,61.8540000916,3.72729992867,11.6700000763,3.20000004768,102846.0,-3.49841342368,-1.71781942155,3.02399992943,32.6400889081,4.1741642952,0.98,-7.4463749409e-05,-0.263566293943,180.016187421,0.263566304462,247.427433048,3.7885653799,186.336536364,72.7780297315,95.2098193585,21.3726872039,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('29',)",3755324025.92,7,8.48299980164,1028.25,empty,3755336089.22,-3.03999996185,3755336089.23,0.0,273.200012207,-3.48000001907,3755324025.92,44.0699996948,port_timestamp,61.5379981995,3.72790002823,11.6719999313,3.09999990463,102825.0,-3.84171499633,-2.56772774799,2.92949986458,32.6441764993,4.15363264084,0.98,-0.000178228770782,-0.263316336903,180.038781319,0.263316397221,239.041843971,4.47970051321,201.349875399,84.3577659392,95.1480611131,24.7735482114,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('30',)",3755324059.28,7,8.49100017548,1028.45996094,empty,3755336089.22,-2.83999991417,3755336089.23,0.0,273.200012207,-2.97000002861,3755324059.28,44.0800018311,port_timestamp,61.5660018921,3.72760009766,11.6700000763,3.20000004768,102846.0,-3.51574211625,-2.12745318502,3.02399992943,32.64301463,4.15693950653,0.98,-0.000230578140695,-0.263190233777,180.050196205,0.263190334781,242.063155735,3.97923330881,198.326174814,76.0635941241,95.0509984307,22.2076481582,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('31',)",3755324124.3,7,8.48299980164,1028.39001465,empty,3755336089.22,-2.99000000954,3755336089.23,0.0,273.200012207,-2.72000002861,3755324124.3,44.0499992371,port_timestamp,60.2729988098,3.72699999809,11.6630001068,3.20000004768,102839.0,-3.5954235925,-1.84700552332,3.02399992943,32.6433274795,4.06748485565,0.98,-0.000332621670421,-0.262944423597,180.072478463,0.262944633978,246.220855982,3.92860390676,190.890777007,76.9624303432,94.9911257663,21.9612208272,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('32',)",3755324193.94,7,8.58100032806,1028.67004395,empty,3755336089.22,-2.83999991417,3755336089.23,0.0,273.200012207,-3.52999997139,3755324193.94,44.0699996948,port_timestamp,60.5709991455,3.72639989853,11.6529998779,3.09999990463,102867.007812,-3.66165042735,-2.66811084072,2.92949986458,32.6462814535,4.11382389069,0.98,-0.000441910532584,-0.262681160311,180.096389039,0.262681532025,236.69491461,4.38070082875,205.906469744,82.9535450384,95.0402952048,23.1693435542,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('33',)",3755324263.64,7,8.49800014496,1028.31994629,empty,3755336089.22,-2.71000003815,3755336089.23,0.0,273.200012207,-2.73000001907,3755324263.64,44.0600013733,port_timestamp,59.1920013428,3.72760009766,11.6689996719,3.09999990463,102831.992188,-3.32770026799,-1.92961427165,2.92949986458,32.643895113,3.99870204926,0.98,-0.000551285704479,-0.262417689115,180.120366496,0.262418268184,243.385070644,3.72148690648,187.956479178,75.0153075853,94.9701117741,20.900559683,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('34',)",3755324298.43,7,8.52099990845,1028.25,empty,3755336089.22,-2.76999998093,3755336089.23,0.0,272.200012207,-2.42000007629,3755324298.43,44.0800018311,port_timestamp,60.8680000305,3.72729992867,11.6700000763,3.0,102825.0,-3.30485715907,-1.61468864545,2.83500003815,32.6400889081,4.11891651154,0.98,-0.000605880703311,-0.262286176549,180.132352936,0.262286876339,247.741124166,3.57030376137,198.949823603,70.3585786093,95.9291060031,20.0283294659,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('35',)",3755324369.62,7,8.51299953461,1028.31994629,empty,3755336089.22,-1.87999999523,3755336089.23,0.0,272.200012207,-3.3599998951,3755324369.62,44.0800018311,port_timestamp,59.1920013428,3.72729992867,11.6639995575,3.09999990463,102831.992188,-2.69051509659,-2.75411107114,2.92949986458,32.6453702155,4.00277853012,0.98,-0.000717590952923,-0.262017080441,180.156916603,0.262018063079,227.18493296,3.66681647751,187.378554892,73.9404279449,95.8981244765,20.4695023355,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('36',)",3755334691.9,7,8.3780002594,1028.80004883,empty,3755336089.22,-2.76999998093,3755336089.23,0.0,269.100006104,-3.57999992371,3755334691.9,44.0900001526,port_timestamp,66.6529998779,3.72480010986,11.6309995651,2.59999990463,102880.007812,-3.60709579462,-2.73462232794,2.45699977875,32.6500535626,4.46542882919,0.98,-0.0161147667206,-0.223750846115,184.1193885,0.224330396611,235.038137505,4.38173713737,197.011680581,75.620700262,98.9240659617,24.8994482724,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('37',)",3755334756.19,7,8.32499980927,1028.80004883,empty,3755336089.22,-2.41000008583,3755336089.23,0.0,268.700012207,-3.59999990463,3755334756.19,44.0299987793,port_timestamp,65.8550033569,3.72440004349,11.623000145,3.0,102880.007812,-3.26474123126,-2.84772969574,2.83500003815,32.6531967283,4.39594459534,0.98,-0.015655060389,-0.224035227307,183.997198245,0.22458153083,231.078512758,4.17616254586,194.615327485,73.9904895437,99.2158321089,24.244005871,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('38',)",3755334821.31,7,8.33300018311,1028.5300293,empty,3755336089.22,-2.45000004768,3755336089.23,0.0,268.600006104,-3.72000002861,3755334821.31,44.0800018311,port_timestamp,65.4919967651,3.72399997711,11.623000145,3.0,102853.0,-3.33462570451,-2.95316302586,2.83500003815,32.6492925237,4.37517690659,0.98,-0.0151894766996,-0.224323244319,183.873724575,0.22483691455,230.577084244,4.29711803699,217.363338053,76.2728748875,99.3309533734,24.7824623685,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('39',)",3755334858.76,7,8.24199962616,1028.59997559,empty,3755336089.22,-3.04999995232,3755336089.23,0.0,268.399993896,-3.74000000954,3755334858.76,44.0600013733,port_timestamp,64.611000061,3.72399997711,11.6219997406,3.09999990463,102860.0,-3.91911273798,-2.81614188695,2.92949986458,32.6501738305,4.28922653198,0.98,-0.0149217353329,-0.224488873121,183.802846197,0.224984249094,236.423273263,4.68608287691,209.017611759,84.6313318199,99.5647673864,27.7510124173,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('40',)",3755334922.82,7,8.32499980927,1028.67004395,empty,3755336089.22,-2.69000005722,3755336089.23,0.0,268.799987793,-2.69000005722,3755334922.82,44.0499992371,port_timestamp,65.5130004883,3.72469997406,11.6319999695,2.90000009537,102867.007812,-3.29796906909,-1.89620690722,2.7404999733,32.6481974808,4.37360668182,0.98,-0.014463666367,-0.224772241413,183.681798358,0.225237115402,243.022098641,3.6844404693,185.501336646,67.3122211851,99.0637575528,21.8658578816,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
