obs,time,deployment,air_temperature,barometric_pressure,dcl_controller_timestamp,driver_timestamp,eastward_wind_velocity,ingestion_timestamp,internal_timestamp,longwave_irradiance,northward_wind_velocity,port_timestamp,precipitation,preferred_timestamp,relative_humidity,sea_surface_conductivity,sea_surface_temperature,shortwave_irradiance,met_barpres,met_windavg_mag_corr_east,met_windavg_mag_corr_north,met_netsirr,met_salsurf,met_spechum,ct_depth,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity,met_current_direction,met_current_speed,met_relwind_direction,met_relwind_speed,met_heatflx_minute,met_latnflx_minute,met_netlirr_minute,met_sensflx_minute,barometric_pressure_qc_executed,barometric_pressure_qc_results,relative_humidity_qc_executed,relative_humidity_qc_results,air_temperature_qc_executed,air_temperature_qc_results,longwave_irradiance_qc_executed,longwave_irradiance_qc_results,precipitation_qc_executed,precipitation_qc_results,sea_surface_temperature_qc_executed,sea_surface_temperature_qc_results,sea_surface_conductivity_qc_executed,sea_surface_conductivity_qc_results,shortwave_irradiance_qc_executed,shortwave_irradiance_qc_results,eastward_wind_velocity_qc_executed,eastward_wind_velocity_qc_results,northward_wind_velocity_qc_executed,northward_wind_velocity_qc_results,met_barpres_qc_executed,met_barpres_qc_results,met_current_direction_qc_executed,met_current_direction_qc_results,met_current_speed_qc_executed,met_current_speed_qc_results,met_relwind_direction_qc_executed,met_relwind_direction_qc_results,met_relwind_speed_qc_executed,met_relwind_speed_qc_results,met_netsirr_qc_executed,met_netsirr_qc_results,met_salsurf_qc_executed,met_salsurf_qc_results,met_spechum_qc_executed,met_spechum_qc_results,lat,lon
"('0',)",3755291494.58,7,8.38500022888,1029.15002441,empty,3755294091.93,-0.740000009537,3755294095.01,0.0,266.600006104,-3.79999995232,3755291494.58,44.2099990845,port_timestamp,67.1549987793,3.72760009766,11.6499996185,14.6000003815,102915.0,-1.70453275561,-3.47594127349,13.7969999313,32.6606247888,4.49976587296,0.98,-0.0813604384284,-0.272185196618,196.642232983,0.284085026355,206.868900959,3.59148177935,,,,,29,29,29,29,29,29,29,29,29,29,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('1',)",3755291560.36,7,8.40799999237,1029.07995605,empty,3755294091.93,-1.95000004768,3755294095.01,0.0,267.5,-5.05999994278,3755291560.36,44.1599998474,port_timestamp,67.9309997559,3.72849988937,11.6630001068,17.2999992371,102907.992188,-3.2010333632,-4.37715489954,16.3484992981,32.6579479277,4.55934095383,0.98,-0.0811102776944,-0.272240090177,196.590718474,0.284066090632,217.236495778,5.15599123851,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('2',)",3755291623.31,7,8.34799957275,1029.15002441,empty,3755294091.93,-1.95000004768,3755294095.01,0.0,266.600006104,-5.90000009537,3755291623.31,44.1500015259,port_timestamp,66.4209976196,3.72729992867,11.6470003128,16.2000007629,102915.0,-3.41989589197,-5.18814161327,15.3090009689,32.6603393852,4.43926334381,0.98,-0.0808709017503,-0.272292617195,196.541418438,0.28404818628,214.185785497,5.94261383884,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('3',)",3755291658.26,7,8.36999988556,1029.42004395,empty,3755294091.93,-2.81999993324,3755294095.01,0.0,266.200012207,-5.26999998093,3755291658.26,44.1500015259,port_timestamp,65.2720031738,3.72779989243,11.6510000229,15.3999996185,102942.007812,-4.09569925726,-4.35322260131,14.5529994965,32.661692622,4.36765432358,0.98,-0.080737997087,-0.272321780884,196.51404374,0.284038336352,224.533344945,5.72482885568,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('4',)",3755291724.63,7,8.34000015259,1029.07995605,empty,3755294091.93,-2.03999996185,3755294095.01,0.0,265.600006104,-5.34999990463,3755291724.63,44.1599998474,port_timestamp,64.7910003662,3.72779989243,11.6510000229,14.6000003815,102907.992188,-3.36348435705,-4.63368879013,13.7969999313,32.661692622,4.32797384262,0.98,-0.0804856155072,-0.27237716177,196.462054889,0.28401981015,216.970784745,5.4588570101,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('5',)",3755291789.41,7,8.43799972534,1029.2199707,empty,3755294091.93,-2.56999993324,3755294095.01,0.0,266.600006104,-4.63000011444,3755291789.41,44.1399993896,port_timestamp,66.8970031738,3.72729992867,11.6440000534,14.0,102922.0,-3.68758186993,-3.80046584896,13.2299995422,32.6629824891,4.4983086586,0.98,-0.0802392347735,-0.272431225872,196.411295669,0.284001950041,225.636802667,5.04578528964,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('6',)",3755291855.5,7,8.40799999237,1029.2199707,empty,3755294091.93,-2.3900001049,3755294095.01,0.0,266.200012207,-6.03999996185,3755291855.5,44.1500015259,port_timestamp,66.7890014648,3.7267999649,11.6400003433,13.3000001907,102922.0,-3.8811754811,-5.20866364104,12.5685005188,32.661628951,4.48187589645,0.98,-0.0799879217859,-0.272486372273,196.359513773,0.283983962058,217.59868349,6.23015833585,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('7',)",3755291920.81,7,8.27999973297,1029.15002441,empty,3755294091.93,-2.07999992371,3755294095.01,0.0,265.399993896,-5.51000022888,3755291920.81,44.1599998474,port_timestamp,64.6669998169,3.72729992867,11.6529998779,12.3000001907,102915.0,-3.44379090578,-4.77774072153,11.6234998703,32.6550550436,4.30177545547,0.98,-0.0797395711923,-0.272540868627,196.308335861,0.28396641401,216.748849066,5.62260323127,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('8',)",3755291984.61,7,8.31000041962,1029.01000977,empty,3755315083.84,-3.00999999046,3755315083.85,0.0,265.799987793,-4.75,3755291984.61,44.1500015259,port_timestamp,63.3089981079,3.7283000946,11.6579999924,11.6000003815,102901.0,-4.14365045239,-3.80167869119,10.9619998932,32.660402851,4.2203874588,0.98,-0.0794969286273,-0.27259411245,196.258328139,0.28394948812,229.030770467,5.38254417804,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
"('9',)",3755302289.36,7,9.12300014496,1029.01000977,empty,3755315083.84,-4.21000003815,3755315083.85,0.0,268.100006104,-4.32000017166,3755302289.36,44.0900001526,port_timestamp,59.1209983826,3.72860002518,11.6669998169,3.0,102901.0,-5.19016603055,-3.07387026071,2.83500003815,32.6554001578,4.16389083862,0.98,-0.0406913814195,-0.280447299388,188.255694264,0.283383973181,241.521604804,5.85835309647,,,,,29,29,29,29,29,29,29,29,29,13,29,29,29,13,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,44.38,-124.95
